price,description,lien_produit,name,image_url,regular_price,discount,stock_availability,brand,category,offre,garantie
55.0,Puissance 2200 W - Capacité 1.7L - Résistance apparente - Niveau d’eau visible dans les deux sens - Filtre amovible - Bouton marche/arrêt - Arrêt automatique à ébullition - Range cordon - Garantie 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/59226-bouilloire-electrique-taurus-loiza-2200-w.html,Bouilloire électrique Taurus Loiza 2200 W,https://www.tunisianet.com.tn/271250-home/bouilloire-electrique-taurus-loiza-2200-w.jpg,-1.0,0,En stock,Taurus,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
389.0,Paiement 6 * sans intérêt - Réfrigérateur Mini-BarAUXSTAR BC-50W- Volume : 50L - Consommation énergétique: A+ - 2 balconettes transparents - 1 clayette - Bac à oeuf - Bac à glaçon - Pieds réglables - Porte réversible - Fluide réfrigérant: R600a - Thermostat réglable: 7 niveaux- Voltage: 220-240V/50Hz -Couleur Blanc - Dimensions: 520 x 463 x 530 mm - Poids: 14 kg - Garantie 1 an+ ,https://www.tunisianet.com.tn/refrigerateur-tunisie/23891-refrigerateur-mini-bar-auxstar-bc-50w-blanc-livraison-installation-et-mise-en-marche-gratuites-.html,Réfrigérateur Mini-Bar AUXSTAR BC-50W / Blanc + Livraison + Installation et Mise en Marche Gratuites,https://www.tunisianet.com.tn/344525-home/refrigerateur-mini-bar-auxstar-bc-50w-blanc-livraison-installation-et-mise-en-marche-gratuites-.jpg,-1.0,0,En stock,AUXSTAR,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Réfrigérateurs']",Livraison + Installation et Mise en Marche Gratuites,12
769.0,"Écran14.1"" HD (1366x768 pixels) - Processeur Intel Core i3-10110U, ( jusqu'à 4,10 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go - Disque SSD256 Go - Graphiques Intel UHD Graphics - Webcam - Wi-Fi - Bluetooth 4.2 - 1x Micro-SD Card- 1x USB 3.0 - 1x USB 2.0 - 1x Mini HDMI - 1x 3.5 mm stereo jack - Windows 11 - Couleur Noir - Garantie 1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/71265-pc-portable-thomson-n14i310-i3-10110u-8-go-256-go-ssd-windows-11.html,Pc Portable Thomson N14I310 / i3-10110U / 8 Go / 256 Go SSD / Windows 11,https://www.tunisianet.com.tn/345763-home/pc-portable-thomson-n14i310-i3-10110u-8-go-256-go-ssd-windows-11.jpg,-1.0,0,En stock,Thomson,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
55.0,Capacité: 1.4 Litres - Large ouverture dans le couvercle pour ajouter tous les ingrédients sans dégât - Interrupteur marche/arrêt - Utilisation simple et sécurisée - Pieds antidérapants pour une stabilité accrue - Couleur: Bleu et Noir - Garantie: 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/65724-machine-a-glace-creme-topmatic-bleu-et-noir.html,Machine à Glace Crème TOPMATIC BLEU et NOIR,https://www.tunisianet.com.tn/310096-home/machine-a-glace-creme-topmatic-bleu-et-noir.jpg,-1.0,0,En stock,Topmatic,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
419.0,"Paiement 6 * sans intérêt - Réfrigérateur Minibar Telefunken FRIG-DF1-06 - 1 Porte - Capacité nette totale: 45 Litres - Capacité nette du réfrigérateur: 41 Litres - Capacité nette de la zone froide: 4 Litres - Technologies Dégivrer - Classe énergétique F/E - Étiquette énergétique: A+, A++ - Gaz: R600A - Contrôle mécanique de la température - glacière intérieure - grille coulissante - casier à bouteilles 2L - poignée encastrée - porte réversible - pieds réglables - Dimensions: 44 x 47 x 51 cm - Couleur Blanc - Garantie 3 ans",https://www.tunisianet.com.tn/refrigerateur-tunisie/69959-refrigerateur-minibar-1-porte-telefunken-df1-06-45-litres-blanc.html,Réfrigérateur Minibar 1 Porte Telefunken DF1-06 / 45 Litres / Blanc,https://www.tunisianet.com.tn/344477-home/refrigerateur-minibar-1-porte-telefunken-df1-06-45-litres-blanc.jpg,-1.0,0,En stock,Telefunken,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Réfrigérateurs']",no offer,36
779.0,"Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 -Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise -Windows 11 -Garantie 1 anAvec ",https://www.tunisianet.com.tn/pc-portable-tunisie/75595-pc-portable-hp-15-fd0030nk-4-go-windows-11-gris-avec-sacoche-offerte.html,Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris AVEC SACOCHE OFFERTE,https://www.tunisianet.com.tn/370589-home/pc-portable-hp-15-fd0030nk-4-go-windows-11-gris-avec-sacoche-offerte.jpg,879.0,-100.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",SACOCHE Offerte,12
55.0,Capacité: 1.4 Litres - Large ouverture dans le couvercle pour ajouter tous les ingrédients sans dégât - Interrupteur marche/arrêt - Utilisation simple et sécurisée - Pieds antidérapants pour une stabilité accrue - Couleur: Crème - Garantie: 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/65723-machine-a-glace-creme-topmatic.html,Machine à Glace Crème TOPMATIC,https://www.tunisianet.com.tn/310094-home/machine-a-glace-creme-topmatic.jpg,-1.0,0,En stock,Topmatic,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
469.0,"Paiement 6 * sans intérêt- Mini Bar Vitrine AUXSTAR BC-50L - 1 Porte avant en verre - Capacité 50 Litres - Puissance 70 W - Consommation d'énergie: 0,35kwh/24h - Alimentation: 220-240V / 50hz - R600a - Dimensions: 455 x 425 x 505 mm -Poids: 18.5 kg - Couleur Noir - Garantie 1 an+ ",https://www.tunisianet.com.tn/refrigerateur-tunisie/66331-mini-bar-auxstar-50l-noir-vitree.html,Mini-Bar AUXSTAR 50L / NOIR VITREE + Livraison + Installation et Mise en Marche Gratuites,https://www.tunisianet.com.tn/344527-home/mini-bar-auxstar-50l-noir-vitree.jpg,-1.0,0,En stock,AUXSTAR,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Réfrigérateurs']",Livraison + Installation et Mise en Marche Gratuites,12
679.0,"Paiement sur 6x sans intérêt - Congélateur Horizontal TELEFUNKEN - Volume net :70 litres - Type : Horizontal - Dimensions : 38,4x 62x 83,5 - 3 étoiles - Mode Dégivrage : Manuel - Ouverture de porte : Vers le haut - Consommasion annuelle moyenne (KWh) :146 - Couleur : Blanc - Garantie 3 ans",https://www.tunisianet.com.tn/congelateur-tunisie/65917-congelateur-horizontal-telefunken-70l-blanc-.html,Congélateur Horizontal TELEFUNKEN / 70L / BLANC,https://www.tunisianet.com.tn/311212-home/congelateur-horizontal-telefunken-70l-blanc-.jpg,-1.0,0,En stock,Telefunken,"['Accueil', 'Electroménager', 'Gros Electro Cuisine', 'Congélateurs']",no offer,36
139.9,"Four Électrique BIOLUX M-35G - Puissance: 1400 Watts - Volume: 35 Litres - Température: Réglable de 250° - Minuterie: 90 minutes - 3 modes de fonctionnement haut, bas et combiné - Arrêt automatique - Alimentation 220-240 / 50-60 Hz - Témoin lumineux Marche/Arrêt - Dimensions: 41.6 x 50.5 x 29.8 cm - CouleurGris - Garantie 1 an",https://www.tunisianet.com.tn/four-electrique-tunisie-micro-onde/76327-four-electrique-biolux-m-35g-35-litres-1400-watts-gris.html,Four Électrique BIOLUX M-35G / 35 LITRES / 1400 Watts  / GRIS,https://www.tunisianet.com.tn/374726-home/four-electrique-biolux-m-35g-35-litres-1400-watts-gris.jpg,-1.0,0,En stock,BioLux,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Mini four électrique / Micro-onde']",no offer,12
